formula_pretty,energy_above_hull,Delta_R_mm,match_atoms,dop_element,matrix_element,dop_oxi,matrix_oxi,Delta_R_md,abs_Delta_R_md,abs_Delta_eln,coordination,name_maxr,name_mine,concentration,electrons_nuber,E_mine_UP,E_maxr_UP,calc_name_mine,calc_name_maxr,d_energy_dft,concentration_dft,bond_energy_dft
LiAlO2,0.01,0.34,"['Li', 'Al']",Ti,Al,4.0,3.0,0.08,0.08,0.07,4,POSCAR_mp-3427_LiAlO2_Ti_Al_max_r,POSCAR_mp-3427_LiAlO2_Ti_Al_min_e,0.03,512.0,-846.6405639648438,-846.1126098632812,mp-3427_LiAlO2_Ti_Al_min_e_c4.1mm.1,mp-3427_LiAlO2_Ti_Al_max_r_c4.1mm.1,0.9607170362500028,0.0037516326356303187,-0.49405393999995795
Li3ScN2,0.0,0.21,"['Li', 'Sc']",Mg,Li,2.0,1.0,-0.03,0.03,0.33,4,POSCAR_mp-542435_Li3ScN2_Mg_Li_max_r,POSCAR_mp-542435_Li3ScN2_Mg_Li_min_e,0.02,256.0,-546.2553100585938,-545.9610595703125,mp-542435_Li3ScN2_Mg_Li_min_e_c4.1mm.1,mp-542435_Li3ScN2_Mg_Li_max_r_c4.1mm.1,0.9701027487500049,0.0035523985342995235,-0.3462811800000054
Li8ZrO6,0.0,0.05,"['Li', 'Zr']",Nb,Zr,5.0,4.0,-0.11,0.11,0.27,6,POSCAR_mp-755225_Li8ZrO6_Nb_Zr_max_r,POSCAR_mp-755225_Li8ZrO6_Nb_Zr_min_e,0.09,672.0,-1031.0111083984375,-1030.777587890625,mp-755225_Li8ZrO6_Nb_Zr_min_e_c6.1mm.1,mp-755225_Li8ZrO6_Nb_Zr_max_r_c6.1mm.1,1.0510566025000116,0.0062756800223421035,-0.18172464000008404
Li8SiO6,0.0,0.56,"['Li', 'Si']",Mg,Li,2.0,1.0,-0.03,0.03,0.33,4,POSCAR_mp-28549_Li8SiO6_Mg_Li_max_r,POSCAR_mp-28549_Li8SiO6_Mg_Li_min_e,0.02,384.0,-657.4011840820312,-656.829345703125,mp-28549_Li8SiO6_Mg_Li_min_e_c4.1mm.1,mp-28549_Li8SiO6_Mg_Li_max_r_c4.1mm.1,1.0853288150000147,0.0018179400673941578,-0.6666462399999773
Li5AlO4,0.0,0.34,"['Li', 'Al']",Co,Al,4.0,3.0,0.03,0.03,0.27,4,POSCAR_mp-15960_Li5AlO4_Co_Al_max_r,POSCAR_mp-15960_Li5AlO4_Co_Al_min_e,0.14,261.0,-432.7995910644531,-432.36322021484375,mp-15960_Li5AlO4_Co_Al_min_e_c4.1mm.1,mp-15960_Li5AlO4_Co_Al_max_r_c4.1mm.1,1.127336999999974,0.0031841626540065606,-0.5610837099999912
Li3AlN2,0.0,0.34,"['Li', 'Al']",Cr,Al,4.0,3.0,0.05,0.05,0.05,4,POSCAR_mp-13944_Li3AlN2_Cr_Al_max_r,POSCAR_mp-13944_Li3AlN2_Cr_Al_min_e,0.07,258.0,-500.7949523925781,-500.6897277832031,mp-13944_Li3AlN2_Cr_Al_min_e_c4.1mm.1,mp-13944_Li3AlN2_Cr_Al_max_r_c4.1mm.1,1.1283052083333658,0.002452596897542012,-0.15322605000000067
Li4SiO4,0.0,0.56,"['Li', 'Si']",Mg,Li,2.0,1.0,-0.13,0.13,0.33,5,POSCAR_mp-11737_Li4SiO4_Mg_Li_max_r,POSCAR_mp-11737_Li4SiO4_Mg_Li_min_e,0.03,256.0,-429.2710876464844,-428.5189514160156,mp-11737_Li4SiO4_Mg_Li_min_e_c5.1mm.1,mp-11737_Li4SiO4_Mg_Li_max_r_c5.1mm.1,1.13671654999996,0.001348426190823294,-0.8070534299999963
Li4SiO4,0.0,0.56,"['Li', 'Si']",Mg,Li,2.0,1.0,-0.03,0.03,0.33,4,POSCAR_mp-11737_Li4SiO4_Mg_Li_max_r,POSCAR_mp-11737_Li4SiO4_Mg_Li_min_e,0.03,256.0,-429.2710876464844,-428.5189514160156,mp-11737_Li4SiO4_Mg_Li_min_e_c4.1mm.1,mp-11737_Li4SiO4_Mg_Li_max_r_c4.1mm.1,1.13671654999996,0.001348426190823294,-0.8070534299999963
Li3AlN2,0.0,0.34,"['Li', 'Al']",Mn,Al,4.0,3.0,0.0,0.0,0.06,4,POSCAR_mp-13944_Li3AlN2_Mn_Al_max_r,POSCAR_mp-13944_Li3AlN2_Mn_Al_min_e,0.07,259.0,-499.322021484375,-499.3159484863281,mp-13944_Li3AlN2_Mn_Al_min_e_c4.1mm.1,mp-13944_Li3AlN2_Mn_Al_max_r_c4.1mm.1,1.1404729430882163,0.0022850885525683012,-0.1945981200000233
LiAlO2,0.01,0.34,"['Li', 'Al']",Mg,Li,2.0,1.0,-0.03,0.03,0.33,4,POSCAR_mp-3427_LiAlO2_Mg_Li_max_r,POSCAR_mp-3427_LiAlO2_Mg_Li_min_e,0.03,512.0,-842.668701171875,-842.2537841796875,mp-3427_LiAlO2_Mg_Li_min_e_c4.1mm.1,mp-3427_LiAlO2_Mg_Li_max_r_c4.1mm.1,1.1471101099999714,0.0012693569750644093,-0.41529669999999896
