material_id,crystal_system,space_group,theoretical,reduction_limit,oxidation_limit,reduction_reaction,oxidation_reaction,formula_pretty,chemsys,nsites,energy_above_hull,band_gap,is_stable
mp-557964,Cubic,Pm-3m,False,0.0,0.48,Li9S3N -> Li3N + 3 Li2S,Li9S3N -> 3 Li2S + 0.3333 LiN3 + 2.667 Li,Li9S3N,Li-N-S,13,0.0,2.43,False
mp-23259,Cubic,Fm-3m,False,0.0,3.67,LiBr -> LiBr,LiBr -> Br + Li,LiBr,Br-Li,2,0.01,4.92,False
mp-2286,Cubic,Fm-3m,False,0.0,2.13,Li2Se -> Li2Se,Li2Se -> Se + 2 Li,Li2Se,Li-Se,3,0.0,2.97,True
mp-2530,Cubic,Fm-3m,False,0.0,1.56,Li2Te -> Li2Te,Li2Te -> 0.3333 LiTe3 + 1.667 Li,Li2Te,Li-Te,3,0.0,2.49,True
mp-37906,Cubic,F-43m,True,0.0,0.68,LiMgN -> LiMgN,LiMgN -> 0.3333 Mg3N2 + 0.1111 LiN3 + 0.8889 Li,LiMgN,Li-Mg-N,3,0.0,2.27,True
mp-568365,Orthorhombic,Ibca,False,0.0,0.53,8 Li6Br3N -> 8 Li5Br2N + 8 LiBr,8 Li6Br3N -> 24 LiBr + 2.667 LiN3 + 21.33 Li,Li6Br3N,Br-Li-N,80,0.01,2.26,False
mp-976280,Hexagonal,P6_3mc,True,0.0,3.67,2 LiBr -> 2 LiBr,2 LiBr -> 2 Br + 2 Li,LiBr,Br-Li,4,0.0,4.94,True
mp-1080534,Monoclinic,C2/m,False,0.0,2.35,Cs2Li3I5 -> 3 LiI + 2 CsI,Cs2Li3I5 -> 1.5 CsI3 + 0.5 CsI + 3 Li,Cs2Li3I5,Cs-I-Li,10,0.01,3.86,False
mp-5001,Monoclinic,P2_1/c,False,0.0,0.87,4 Li3BN2 -> 4 Li3BN2,4 Li3BN2 -> 4 BN + 1.333 LiN3 + 10.67 Li,Li3BN2,B-Li-N,24,0.0,3.21,True
mp-1095674,Orthorhombic,Cmcm,True,0.0,2.96,2 Cs2LiBr3 -> 2 LiBr + 4 CsBr,2 Cs2LiBr3 -> CsBr3 + 3 CsBr + 2 Li,Cs2LiBr3,Br-Cs-Li,12,0.0,4.35,False
mp-1176564,Monoclinic,P2_1/c,True,0.0,3.04,4 LiTmO2 -> 4 LiTmO2,4 LiTmO2 -> Li2O2 + 2 Tm2O3 + 2 Li,LiTmO2,Li-O-Tm,16,0.0,4.18,True
mp-9610,Tetragonal,I4/mmm,False,0.0,2.06,Li2CN2 -> Li2CN2,Li2CN2 -> N2 + C + 2 Li,Li2CN2,C-Li-N,5,0.0,3.74,True
mp-30156,Orthorhombic,Pnma,False,0.0,0.68,4 LiMgN -> 4 LiMgN,4 LiMgN -> 1.333 Mg3N2 + 0.4444 LiN3 + 3.556 Li,LiMgN,Li-Mg-N,12,0.0,2.21,False
