Substrate,Film,Substrate Miller,Film Miller,"Misfit, %",Termination,n_at,Slab
,,(012),(100),"2.0, 0.0","('O2_P2/c_2', 'O2_P2_1/m_2')",396.0,LiCoO2_Li2SO4_012_100_396at_O2_P2c_2_O2_P2_1m_2
,,(012),(100),"2.0, 0.0","('SO_Pc_4', 'O2_P2_1/m_2')",76.0,LiCoO2_Li2SO4_012_100_76at_SO_Pc_4_O2_P2_1m_2
,,(012),(100),"2.0, 0.0","('SO_Pc_4', 'O2_P2_1/m_2')",152.0,LiCoO2_Li2SO4_012_100_152at_SO_Pc_4_O2_P2_1m_2
,,(012),(100),"2.0, 0.0","('SO_Pc_4', 'O2_P2_1/m_2')",212.0,LiCoO2_Li2SO4_012_100_212at_SO_Pc_4_O2_P2_1m_2
,,(012),(100),"2.0, 0.0","('SO_Pc_4', 'O2_P2_1/m_2')",228.0,LiCoO2_Li2SO4_012_100_228at_SO_Pc_4_O2_P2_1m_2
,,(012),(100),"2.0, 0.0","('SO_Pc_4', 'O2_P2_1/m_2')",288.0,LiCoO2_Li2SO4_012_100_288at_SO_Pc_4_O2_P2_1m_2
,,(012),(100),"2.0, 0.0","('SO_Pc_4', 'O2_P2_1/m_2')",304.0,LiCoO2_Li2SO4_012_100_304at_SO_Pc_4_O2_P2_1m_2
,,(012),(100),"2.0, 0.0","('SO_Pc_4', 'O2_P2_1/m_2')",320.0,LiCoO2_Li2SO4_012_100_320at_SO_Pc_4_O2_P2_1m_2
,,(012),(100),"2.0, 0.0","('SO_Pc_4', 'O2_P2_1/m_2')",364.0,LiCoO2_Li2SO4_012_100_364at_SO_Pc_4_O2_P2_1m_2
,,(012),(100),"2.0, 0.0","('SO_Pc_4', 'O2_P2_1/m_2')",380.0,LiCoO2_Li2SO4_012_100_380at_SO_Pc_4_O2_P2_1m_2
,,(012),(100),"2.0, 0.0","('SO_Pc_4', 'O2_P2_1/m_2')",396.0,LiCoO2_Li2SO4_012_100_396at_SO_Pc_4_O2_P2_1m_2
